Coords,PGC,Name1,Name2,Name3,logD25,logD25err,RC3PA,logR25,logR25err,OrigCoords,Notes,SemiMajorAxis,SemiMinorAxis,PositionAngle,NEDRedshift
01h10m49.0392s -01d45m24.084s,PGC 04214,,UGC 00736      U,,1.1,0.05,125.0,0.14,0.05,011049.2-014525,"NOPA,OFFSET 2.6 arcsec,PANedMed,",0.629,0.456,150.0,0.017012
01h11m30.7656s +01d19m16.068s,PGC 04275,,UGC 00749      U,ARAK 033,1.0,0.07,136.0,0.47,0.05,011131.0+011916,"NOPA,OFFSET 3.5 arcsec,PANedMed,HANDADJ PA Major Minor,",0.7,0.237,141.0,0.022596
01h11m46.5528s -00d39m51.696s,PGC 04292,IC 1639,UGC 00750      E,MK 0562,0.75,0.09,100.0,0.03,0.05,011146.6-003951 I,"NOPA,OFFSET 4782.7 arcsec,PANedMed,",0.281,0.262,155.0,0.017949
01h11m49.9344s -01d39m18.252s,PGC 04295,A 0109-01,E,MK 0563,0.79,0.13,15.0,0.66,0.08,011150.1-013920 A,"NOPA,OFFSET 3.0 arcsec,PANedMed,",0.308,0.067,10.0,0.016431
01h12m31.4s -02d47m36s,PGC 04347,NGC 0413,MCG -01-04-013 E,,1.05,0.06,,0.19,0.05,011231.4-024736 N,"NOPA,PANedMed,",0.561,0.362,40.0,0.019403
01h12m48.6072s -00d17m24.684s,PGC 04363,NGC 0426,UGC 00760      U,,1.14,0.07,140.0,0.14,0.04,011248.6-001724 N,"NOPA,OFFSET 2088.7 arcsec,PANedMed,",0.69,0.5,145.0,0.017343
01h12m55.7088s +00d58m53.616s,PGC 04367,NGC 0428,UGC 00763      R,IRAS01103+0043,1.61,0.02,120.0,0.12,0.03,011255.8+005853 N,"NOPA,OFFSET 1.5 arcsec,PANedMed,",2.037,1.545,107.0,0.003843
01h12m57.4248s -00d20m41.964s,PGC 04368,NGC 0429,UGC 00762      U,,1.14,0.06,19.0,0.67,0.03,011257.4-002042 N,"NOPA,OFFSET 2484.0 arcsec,PANedMed,",0.69,0.148,19.0,0.018763
01h12m59.928s -00d15m09s,PGC 04376,NGC 0430,UGC 00765      U,,1.12,0.07,155.0,0.08,0.04,011259.9-001509 N,"NOPA,OFFSET 1818.0 arcsec,PANedMed,",0.659,0.548,155.0,0.017676
01h13m09.5928s +02d17m15.972s,PGC 04386,,UGC 00768,IRAS01105+0201,0.96,0.13,,0.13,0.05,011309.7+021715,"NOPA,OFFSET 1.9 arcsec,PANedMed,",0.456,0.338,60.0,0.046162
01h13m41.8272s -00d06m09.828s,PGC 04415,,UGC 00771      U,,1.03,0.06,105.0,0.27,0.05,011341.9-000611,"NOPA,OFFSET 740.8 arcsec,PANedMed,",0.536,0.288,103.0,0.01723
01h13m39.396s +00d52m27.876s,PGC 04416,,UGC 00772      U,,1.08,0.07,,0.12,0.06,011339.6+005231,"NOPA,OFFSET 4.4 arcsec,NedNoPA,",0.601,0.456,0.0,0.003873
01h13m43.1448s +02d22m17.328s,PGC 04422,,UGC 00773,,1.11,0.14,,0.15,0.12,011343.3+022216,"NOPA,OFFSET 2.7 arcsec,PANedMed,",0.644,0.456,115.0,0.047
01h13m59.9s +02d04m17s,PGC 04434,NGC 0435,UGC 00779      U,,1.05,0.05,20.0,0.4,0.04,011359.9+020417 N,"NOPA,PANedMed,",0.561,0.223,20.0,0.034197
01h14m10.2312s -01d51m14.004s,PGC 04442,,CGCG 385-036   H,,0.86,0.1,,0.06,0.06,011410.3-015114,"NOPA,OFFSET 1.0 arcsec,PANedMed,",0.362,0.315,35.0,0.016938
01h14m04.0992s -01d44m32.208s,PGC 04443,,UGC 00784      U,,1.09,0.06,50.0,0.2,0.05,011404.3-014433,"NOPA,OFFSET 3.1 arcsec,PANedMed,",0.615,0.388,47.0,0.016348
01h14m15.8s +00d45m55s,PGC 04454,IC 0087,MCG +00-04-048,,0.74,0.14,,0.09,0.07,011415.8+004555 I,"NOPA,PANedMed,",0.275,0.223,98.0,0.042492
01h14m38.7s -01d01m14s,PGC 04484,NGC 0442,UGC 00789      R,IRAS01121-0116,0.99,0.06,157.0,0.3,0.05,011438.7-010114 N,"NOPA,PANedMed,",0.489,0.245,157.0,0.01864
01h14m37.250s +01d10m52.6s,PGC 04485,,UGC 00790      U,,0.95,0.07,,0.05,0.05,011437.4+011051,"NOPA,OFFSET 7.4 arcsec,PANedMed,HANDADJ Coords PA Major Minor,",0.892,0.794,120.0,0.015473
01h14m38.5416s +01d49m46.2s,PGC 04486,,UGC 00791      U,,1.02,0.06,130.0,0.12,0.05,011438.6+014945,"NOPA,OFFSET 1.5 arcsec,PANedMed,",0.524,0.397,135.0,0.034087
01h14m49.3992s -00d29m44.988s,PGC 04490,,UGC 00793a,IRAS01122-0045,0.64,0.17,87.0,0.06,0.07,011448.8-002946,"NOPA,OFFSET 3571.0 arcsec,PANedMed,HANDADJ Major Minor,",0.436,0.38,87.0,0.033753
01h14m52.5s +01d55m02s,PGC 04493,NGC 0445,CGCG 385-047   E,,0.88,0.08,75.0,0.07,0.05,011452.5+015502 N,"NOPA,PANedMed,",0.379,0.323,130.0,0.038236
01h14m57.5904s +00d25m50.916s,PGC 04500,,UGC 00797      U,,0.95,0.13,,0.02,0.05,011457.7+002550,"NOPA,OFFSET 1.9 arcsec,PANedMed,",0.446,0.426,154.0,0.044898
01h15m16.5s -01d37m34s,PGC 04524,NGC 0448,UGC 00801      U,,1.21,0.08,116.0,0.33,0.05,011516.5-013734 N,"NOPA,PANedMed,",0.811,0.379,115.0,0.006364
01h15m30.4416s -00d51m39.492s,PGC 04540,NGC 0450,UGC 00806      R,IRAS01129-0107,1.49,0.02,72.0,0.12,0.03,011530.4-005139 N,"NOPA,OFFSET 6198.5 arcsec,PANedMed,",1.545,1.172,45.0,0.005874
01h16m06.4104s +01d34m04.296s,PGC 04586,,UGC 00817      U,IRAS01135+0118,0.99,0.06,,0.22,0.05,011606.6+013402,"NOPA,OFFSET 3.7 arcsec,PANedMed,",0.489,0.294,75.0,0.033983
01h16m35.88s +01d12m08.1s,PGC 04608,,UGC 00823      U,,0.96,0.17,,0.05,0.12,011636.0+011207,"NOPA,OFFSET 2.1 arcsec,NedNoPA,",0.456,0.406,0.0,0.016975
01h17m51.5688s -01d57m21.096s,PGC 04659,,UGC 00830      U,,1.35,0.03,120.0,0.17,0.04,011751.7-015723,"NOPA,OFFSET 2.7 arcsec,PANedMed,",1.119,0.757,62.0,0.019857
01h18m53.6112s -01d00m07.164s,PGC 04717,,UGC 00842,,1.12,0.1,85.0,0.09,0.05,011853.7-010008,"NOPA,OFFSET 1.6 arcsec,PANedMed,",0.659,0.536,72.0,0.045218
01h19m04.3968s -00d08m18.852s,PGC 04734,,UGC 00847      U,,1.14,0.05,67.0,1.07,0.05,011904.5-000820,"NOPA,OFFSET 998.9 arcsec,PANedMed,",0.69,0.059,66.0,0.017485
01h19m10.1304s +03d18m02.988s,PGC 04736,NGC 0467,UGC 00848      R,,1.23,0.04,,0.0,0.04,011910.2+031802 N,"NOPA,OFFSET 1.4 arcsec,PANedMed,",0.849,0.849,140.0,0.018236
01h19m29s -01d42m06s,PGC 04771,,UGC 00856      U,,1.07,0.14,25.0,0.11,0.12,011929.0-014206,"NOPA,PANedMed,",0.587,0.456,25.0,0.015945
01h19m44.8512s +03d24m35.784s,PGC 04777,NGC 0470,UGC 00858      R,IRAS01171+0308,1.45,0.02,155.0,0.21,0.03,011944.8+032435 N,"NOPA,OFFSET 1.1 arcsec,PANedMed,",1.409,0.869,77.0,0.007919
01h20m06.7s +03d24m56s,PGC 04801,NGC 0474,UGC 00864      R,ARP 227,1.85,0.02,75.0,0.05,0.03,0120 6.7+032456 N,"NOPA,PANedMed,",3.54,3.155,45.0,0.007722
01h20m06.8304s -00d12m19.296s,PGC 04805,,UGC 00866      U,,1.1,0.07,57.0,0.43,0.06,012006.9-001221,"NOPA,OFFSET 1480.3 arcsec,PANedMed,",0.629,0.234,57.0,0.005814
01h20m15.348s -00d20m09.024s,PGC 04812,,UGC 00867      U,,0.89,0.08,,0.02,0.05,012015.4-002010,"NOPA,OFFSET 2419.0 arcsec,PANedMed,",0.388,0.371,34.0,0.046824
01h20m46.1496s +01d18m15.192s,PGC 04853,,UGC 00874      U,,1.03,0.11,34.0,0.63,0.05,012046.2+011814,"NOPA,OFFSET 1.4 arcsec,PANedMed,",0.536,0.126,34.0,0.017846
01h20m45.9s +01d26m42s,PGC 04854,,UGC 00875      U,,0.93,0.07,,0.03,0.05,012045.9+012642,"NOPA,PANedMed,",0.426,0.397,65.0,0.018196
01h20m47.9s -03d39m12s,PGC 04858,,E,,1.12,0.08,,0.15,0.08,012047.9-033912,"NOPA,PANedMed,",0.659,0.467,120.0,0.062173
01h21m02.4s +02d57m36s,PGC 04873,,UGC 00885      U,,1.0,0.08,138.0,0.43,0.06,012102.5+025736,"NOPA,OFFSET 1.5 arcsec,PANedMed,",0.5,0.186,138.0,0.017846
01h21m08s +01d22m23s,PGC 04896,,UGC 00890      U,IRAS01185+0106,1.29,0.04,177.0,0.56,0.04,012108.0+012223,"NOPA,PANedMed,",0.975,0.269,88.0,0.016581
01h21m15.7s +03d51m44s,PGC 04905,NGC 0479,UGC 00893      U,,1.03,0.05,,0.08,0.04,012115.7+035144 N,"NOPA,PANedMed,",0.536,0.446,110.0,0.017462
01h21m16.6008s -00d32m40.164s,PGC 04906,,UGC 00892      U,ARP 067,1.21,0.04,125.0,0.05,0.04,012116.7-003240,"NOPA,OFFSET 3920.2 arcsec,PANedMed,",0.811,0.723,45.0,0.017439
01h21m21.3s +00d05m25s,PGC 04916,IC 1681,UGC 00894,,0.99,0.06,99.0,0.33,0.05,012121.3+000525 I,"NOPA,PANedMed,",0.489,0.229,100.0,0.012695
01h22m09s +00d56m43s,PGC 04979,NGC 0493,UGC 00914      P,IRAS01195+0041,1.53,0.03,58.0,0.51,0.04,0122 9.0+005643 N,"NOPA,PANedMed,",1.694,0.524,56.0,0.007799
01h22m23.7744s -00d52m30.756s,PGC 04992,NGC 0497,UGC 00915      R,ARP 008,1.32,0.03,132.0,0.38,0.04,012223.8-005230 N,"NOPA,OFFSET 6300.8 arcsec,PANedMed,",1.045,0.435,132.0,0.027155
01h22m35.4024s -00d34m12.36s,PGC 05001,,MCG +00-04-101,,0.82,0.19,,0.0,0.07,012235.5-003413,"NOPA,OFFSET 4105.4 arcsec,PANedMed,",0.33,0.33,137.0,0.025672
01h22m35.8056s +01d53m27.24s,PGC 05006,A 0120+01,CGCG 385-087   E,MK 0569,0.84,0.12,120.0,0.29,0.08,012236.2+015325 A,"NOPA,OFFSET 6.3 arcsec,PANedMed,",0.346,0.177,155.0,0.032236
01h22m46.92s -01d23m31.2s,PGC 05019,,UGC 00921      E,,1.26,0.04,108.0,0.51,0.04,012247.1-012332,"NOPA,OFFSET 2.8 arcsec,PANedMed,",0.91,0.281,109.0,0.01915
01h23m12.3696s -00d38m28.284s,PGC 05055,,UGC 00928      U,,1.06,0.07,45.0,0.28,0.03,012312.5-003829,"NOPA,OFFSET 4617.3 arcsec,PANedMed,",0.574,0.301,50.0,0.027582
01h23m13.7064s -00d23m06.972s,PGC 05056,,UGC 00929      U,,1.09,0.06,,0.02,0.05,012313.8-002308,"NOPA,OFFSET 2775.0 arcsec,PANedMed,",0.615,0.587,83.0,0.024898
01h23m14.5056s -00d42m04.824s,PGC 05067,,UGC 00931,MK 1153,1.07,0.06,6.0,0.7,0.05,012314.6-004204,"NOPA,OFFSET 5048.8 arcsec,PANedMed,",0.587,0.117,142.0,0.006735
01h23m17.0016s -00d54m21.708s,PGC 05070,,CGCG 385-093,,,,,,,012317.0-005422,"LOGD25,NOAXIS,NOPA,OFFSET 6523.7 arcsec,PANedMed,",0.656,0.656,94.0,0.025901
01h23m21.18s -01d58m35.904s,PGC 05076,,MCG +00-04-112,,0.89,0.11,,0.43,0.07,012320.9-015836,"NOPA,OFFSET 4.2 arcsec,PANedMed,HANDADJ PA,",0.388,0.144,160.0,0.016154
01h23m40.7184s -01d49m48.144s,PGC 05097,,CGCG 385-098,,,,,,,012340.8-014940,"LOGD25,NOAXIS,NOPA,OFFSET 8.2 arcsec,PANedMed,HANDADJ Major Minor,",0.368,0.192,130.0,0.018653
01h24m19.5s -01d44m46s,PGC 05164,,CGCG 385-102,,0.82,0.13,,0.36,0.07,012419.5-014446,"NOPA,PANedMed,HANDADJ PA Major Minor,",0.42,0.235,155.0,0.017736
01h24m28.6s -01d38m28s,PGC 05182,NGC 0519,CGCG 385-103   P,,0.7,0.15,140.0,0.25,0.08,012428.6-013828 N,"NOPA,PANedMed,",0.251,0.141,125.0,0.018059
01h24m33.78s +01d43m53.004s,PGC 05190,NGC 0521,UGC 00962      R,IRAS01219+0128,1.5,0.02,20.0,0.04,0.03,012433.8+014352 N,"NOPA,OFFSET 1.0 arcsec,PANedMed,",1.581,1.442,158.0,0.016738
01h24m36.4s +02d02m39s,PGC 05192,IC 0103,UGC 00963      U,,0.93,0.13,130.0,0.23,0.05,012436.4+020239 I,"NOPA,PANedMed,",0.426,0.251,127.0,0.032022
01h24m35.0712s +03d47m32.712s,PGC 05193,NGC 0520,UGC 00966      R,P   157,1.65,0.02,130.0,0.39,0.04,012434.9+034729 N,"NOPA,OFFSET 4.5 arcsec,PANedMed,",2.233,0.91,130.0,0.007609
01h24m24.4008s +03d52m55.992s,PGC 05208,,UGC 00957      U,,1.07,0.14,,0.11,0.12,012424.5+035255,"NOPA,OFFSET 1.8 arcsec,NedNoPA,",0.587,0.456,0.0,0.007178
01h24m41.7s -01d35m13s,PGC 05210,NGC 0530,UGC 00965      P,MK 1154,1.17,0.04,134.0,0.54,0.04,012441.7-013513 N,"NOPA,PANedMed,",0.74,0.213,132.0,0.016702
01h24m48.588s +01d02m12.624s,PGC 05220,,UGC 00971      U,,1.07,0.07,148.0,0.79,0.06,012448.7+010211,"NOPA,OFFSET 2.3 arcsec,PANedMed,",0.587,0.095,149.0,0.015794
01h24m53.8s -01d30m03s,PGC 05228,,UGC 00974      U,,0.95,0.07,160.0,0.55,0.05,012453.8-013003,"NOPA,PANedMed,",0.446,0.126,160.0,0.015868
01h24m52.3608s -01d37m01.416s,PGC 05231,IC 1696,UGC 00973      P,,0.94,0.1,10.0,0.04,0.04,012452.3-013701 I,"NOPA,OFFSET 1.0 arcsec,PANedMed,",0.435,0.397,10.0,0.019547
01h25m02.9s +00d26m39s,PGC 05238,IC 1697,UGC 00976,IRAS01224+0011,0.97,0.07,110.0,0.22,0.05,0125 2.9+002639 I,"NOPA,PANedMed,",0.467,0.281,101.0,0.028706
01h25m13.0896s +02d03m58.392s,PGC 05251,IC 0109,UGC 00980      U,,1.03,0.08,,0.07,0.03,012513.0+020400 I,"NOPA,OFFSET 2.1 arcsec,PANedMed,",0.536,0.456,65.0,0.032529
01h25m09.1s +02d18m11s,PGC 05252,,UGC 00981,,0.85,0.11,25.0,0.25,0.06,012509.1+021811,"NOPA,PANedMed,",0.354,0.199,22.0,0.020484
01h25m17.8536s -01d31m02.856s,PGC 05258,,UGC 00984      U,,1.08,0.07,130.0,0.47,0.03,012518.0-013104,"NOPA,OFFSET 2.5 arcsec,PANedMed,",0.601,0.204,135.0,0.016191
01h25m26.1s -01d33m02s,PGC 05275,NGC 0538,UGC 00991      P,,1.0,0.06,40.0,0.3,0.05,012526.1-013302 N,"NOPA,PANedMed,",0.5,0.251,32.0,0.018246
01h25m31.2s -01d24m29s,PGC 05282,NGC 0535,UGC 00997      P,,1.01,0.07,58.0,0.51,0.03,012531.2-012429 N,"NOPA,PANedMed,",0.512,0.158,56.0,0.016365
01h25m31.4s +01d45m33s,PGC 05283,NGC 0533,UGC 00992      R,,1.58,0.04,50.0,0.21,0.04,012531.4+014533 N,"NOPA,PANedMed,",1.901,1.172,49.0,0.018509
01h25m32.0304s -01d30m09.396s,PGC 05289,,UGC 00996      U,,0.96,0.09,,0.65,0.06,012532.1-013011,"NOPA,OFFSET 1.9 arcsec,PANedMed,",0.456,0.102,90.0,0.019297
01h25m39.36s +00d07m49.512s,PGC 05291,,UGC 00998      U,,1.04,0.06,136.0,0.64,0.05,012539.5+000747,"NOPA,OFFSET 3.3 arcsec,PANedMed,",0.548,0.126,130.0,0.017035
01h25m44.3s -01d22m46s,PGC 05305,NGC 0541,UGC 01004      R,P   133,1.25,0.08,,0.01,0.05,012544.3-012246 N,"NOPA,PANedMed,",0.889,0.869,60.0,0.018086
01h25m44.2608s -01d27m24.084s,PGC 05307,,UGC 01003      U,,1.0,0.1,,0.49,0.04,012544.4-012725,"NOPA,OFFSET 2.3 arcsec,PANedMed,",0.5,0.162,120.0,0.017469
01h25m50s -01d17m34s,PGC 05311,NGC 0543,MCG +00-04-138 P,,0.77,0.13,90.0,0.35,0.05,012550.0-011734 N,"NOPA,PANedMed,",0.294,0.132,90.0,0.017666
01h25m51.5s -01d19m05s,PGC 05314,,MCG +00-04-140,,0.64,0.17,,0.0,0.07,012551.5-011905,"NOPA,PANedMed,",0.218,0.218,115.0,0.013576
01h25m52.9104s +01d30m30.204s,PGC 05316,,UGC 01006      U,,1.04,0.08,,0.04,0.06,012553.0+013029,"NOPA,OFFSET 1.8 arcsec,PANedMed,",0.548,0.5,105.0,0.01947
01h25m59.1s -01d20m24s,PGC 05323,NGC 0545,UGC 01007      R,ARAK 045,1.38,0.04,55.0,0.18,0.04,012559.1-012024 N,"NOPA,PANedMed,",1.199,0.792,55.0,0.017806
01h26m00.6s -01d20m42s,PGC 05324,NGC 0547,UGC 01009      R,,1.13,0.05,85.0,0.03,0.04,0126 0.6-012042 N,"NOPA,PANedMed,",0.674,0.629,130.0,0.018239
01h26m02.5s -01d13m32s,PGC 05326,NGC 0548,UGC 01010      P,,0.95,0.09,135.0,0.05,0.04,0126 2.5-011332 N,"NOPA,PANedMed,",0.446,0.397,150.0,0.018026
01h25m57.8736s -03d58m54.984s,PGC 05329,,MCG -01-04-042 E,,1.28,0.05,,0.27,0.05,012557.8-035856,"NOPA,OFFSET 1.5 arcsec,NedNoPA,HANDADJ PA,",0.953,0.512,80.0,0.006655
01h26m04.92s +00d18m56.592s,PGC 05330,,UGC 01011      U,,1.0,0.08,175.0,0.55,0.06,012605.0+001857,"NOPA,OFFSET 1.3 arcsec,PANedMed,",0.5,0.141,62.0,0.006414
01h26m25.1s -01d38m19s,PGC 05351,NGC 0557,UGC 01016      P,,1.15,0.07,45.0,0.24,0.04,012625.1-013819 N,"NOPA,PANedMed,HANDADJ PA,",0.706,0.406,155.0,0.018503
01h26m29.2776s +00d32m55.464s,PGC 05366,,UGC 01018      U,,1.0,0.08,,0.04,0.06,012629.4+003256,"NOPA,OFFSET 1.9 arcsec,PANedMed,",0.5,0.456,37.0,0.018166
01h26m42.5s +02d01m20s,PGC 05374,NGC 0550,UGC 01021      P,,1.17,0.05,120.0,0.37,0.04,012642.5+020120 N,"NOPA,PANedMed,",0.74,0.315,120.0,0.019443
01h26m43.5s -01d18m22.392s,PGC 05379,,CGCG 385-138,,0.74,0.14,,0.38,0.07,012643.4-011822,"NOPA,OFFSET 1.5 arcsec,PANedMed,",0.275,0.115,140.0,0.016735
01h26m49.75s -00d58m27.10s,PGC 05380,,CGCG 385-140,MK 0570,0.52,0.2,,0.0,0.07,012649.7-005829,"NOPA,OFFSET 7020.1 arcsec,PANedMed,HANDADJ Coords PA Major Minor,",0.333,0.167,90.0,0.016183
01h27m16.1496s -01d16m19.056s,PGC 05424,,UGC 01030      U,,1.0,0.12,177.0,0.21,0.05,012716.2-011621,"NOPA,OFFSET 2.1 arcsec,PANedMed,",0.5,0.308,91.0,0.016188
01h27m16.2s -01d58m15s,PGC 05425,NGC 0558,CGCG 385-143   P,,0.57,0.18,110.0,0.38,0.08,012716.2-015815 N,"NOPA,PANedMed,HANDADJ Major Minor,",0.853,0.495,115.0,0.016531
01h27m25.4s -01d54m46s,PGC 05430,NGC 0560,UGC 01036      P,,1.28,0.04,178.0,0.52,0.03,012725.4-015446 N,"NOPA,PANedMed,",0.953,0.288,89.0,0.018379
01h27m35.9016s -01d06m18.432s,PGC 05436,,UGC 01040      U,,1.06,0.06,34.0,0.72,0.05,012736.0-010619,"NOPA,OFFSET 1.6 arcsec,PANedMed,",0.574,0.109,34.0,0.014974
01h27m43s -01d08m23s,PGC 05449,,UGC 01043      U,,0.94,0.13,,0.06,0.05,012743.0-010823,"NOPA,PANedMed,",0.435,0.379,17.0,0.017488
01h27m48.2088s -01d52m46.308s,PGC 05455,NGC 0564,UGC 01044      P,,1.14,0.06,145.0,0.05,0.04,012748.2-015245 N,"NOPA,OFFSET 1.3 arcsec,PANedMed,",0.69,0.615,140.0,0.019467
01h27m55s -02d02m25s,PGC 05465,IC 0119,UGC 01047      P,,1.1,0.05,77.0,0.32,0.04,012755.0-020225 I,"NOPA,PANedMed,",0.629,0.301,78.0,0.020104
01h28m10.2s -01d18m21s,PGC 05481,NGC 0565,UGC 01052      P,,1.1,0.05,36.0,0.49,0.04,012810.2-011821 N,"NOPA,PANedMed,",0.629,0.204,35.0,0.015117
01h28m12.96s -01d54m55.908s,PGC 05484,IC 0120,CGCG 385-152   P,,0.91,0.11,135.0,0.64,0.08,012813.0-015455 I,"NOPA,OFFSET 1.1 arcsec,PANedMed,",0.406,0.093,140.0,0.016031
01h28m21.8s +02d30m46s,PGC 05492,IC 0121,UGC 01053      U,IRAS01257+0215,0.96,0.07,108.0,0.23,0.05,012821.8+023046 I,"NOPA,PANedMed,",0.456,0.269,109.0,0.030361
01h28m25.7208s -02d35m16.008s,PGC 05498,,MCG -01-04-054 E,,1.15,0.06,,0.83,0.05,012825.8-023524,"NOPA,OFFSET 8.1 arcsec,PANedMed,",0.706,0.104,60.0,0.016775
01h28m36.7992s -01d43m54.012s,PGC 05506,,UGC 01055      U,,1.1,0.06,157.0,0.44,0.05,012836.9-014356,"NOPA,OFFSET 2.5 arcsec,PANedMed,",0.629,0.229,161.0,0.020784
01h28m51.5s +02d26m47s,PGC 05524,IC 0123,MCG +00-04-161,ARAK 049,0.64,0.17,,0.19,0.07,012851.5+022647 I,"NOPA,PANedMed,",0.218,0.141,40.0,0.030618
01h28m58.6392s -00d56m56.4s,PGC 05539,NGC 0570,UGC 01061      P,,1.19,0.05,175.0,0.09,0.05,012858.6-005656 N,"NOPA,OFFSET 6832.4 arcsec,PANedMed,",0.774,0.629,111.0,0.018359
01h28m59.5608s -00d33m42.948s,PGC 05540,,UGC 01062      E,,1.13,0.05,60.0,0.3,0.05,012859.6-003344,"NOPA,OFFSET 4046.9 arcsec,PANedMed,",0.674,0.338,60.0,0.018253
01h28m58.9992s -02d25m42.996s,PGC 05543,,MCG -01-04-055,,1.08,0.09,,0.61,0.07,012859.1-022543,"NOPA,OFFSET 1.5 arcsec,NedNoPA,HANDADJ PA,",0.601,0.148,70.0,0.017626
01h29m43.9872s -01d14m29.112s,PGC 05574,,UGC 01072      U,ARAK 050,1.09,0.12,68.0,0.18,0.05,012944.2-011429,"NOPA,OFFSET 3.2 arcsec,PANedMed,",0.615,0.406,59.0,0.01724
01h29m47.9s -01d59m01s,PGC 05577,IC 0126,UGC 01071,,1.14,0.13,,0.07,0.12,012947.9-015901 I,"NOPA,PANedMed,",0.69,0.587,110.0,0.019667
01h29m46.8432s -02d42m15.444s,PGC 05583,,MCG -01-04-056 E,,1.06,0.06,,0.0,0.05,012946.8-024214,"NOPA,OFFSET 1.6 arcsec,NedNoPA,NedNoRedshift,",0.574,0.574,0.0,nan
01h30m02.5008s +02d51m09s,PGC 05596,,UGC 01075      U,,0.96,0.09,94.0,0.39,0.06,013002.6+025109,"NOPA,OFFSET 1.5 arcsec,PANedMed,",0.456,0.186,94.0,0.006968
01h30m40.7s -01d59m39s,PGC 05628,NGC 0577,UGC 01080      U,IRAS01281-0215,1.26,0.04,140.0,0.1,0.04,013040.7-015939 N,"NOPA,PANedMed,",0.91,0.723,137.0,0.019804
01h31m12.2s -01d29m18s,PGC 05655,,MCG +00-04-167,ARAK 051,0.58,0.18,,0.23,0.07,013112.2-012918,"NOPA,PANedMed,",0.19,0.112,90.0,0.017899
01h31m42.1392s -00d55m59.916s,PGC 05688,NGC 0585,UGC 01092      U,IRAS01291-0111,1.33,0.03,86.0,0.62,0.04,013142.1-005559 N,"NOPA,OFFSET 6718.9 arcsec,PANedMed,",1.069,0.256,86.0,0.018116
01h33m01.98s -00d41m23.352s,PGC 05771,IC 0138,UGC 01106      U,,1.06,0.06,30.0,0.14,0.05,0133 2.0-004123 I,"NOPA,OFFSET 4966.4 arcsec,PANedMed,",0.574,0.416,28.0,0.015464
01h33m07.38s +00d10m32.7s,PGC 05776,,UGC 01107      U,,1.0,0.11,,0.0,0.08,013307.5+001032,"NOPA,OFFSET 1.9 arcsec,NedNoPA,",0.5,0.5,0.0,0.016581
01h33m18.6s +03d04m14.016s,PGC 05794,,UGC 01112      U,,1.12,0.05,108.0,0.36,0.05,013318.8+030414,"NOPA,OFFSET 3.0 arcsec,PANedMed,",0.659,0.288,108.0,0.005631
01h33m34.5s -01d05m26s,PGC 05803,,UGC 01116      U,,0.91,0.07,118.0,0.61,0.05,013334.5-010526,"NOPA,PANedMed,",0.406,0.1,116.0,0.015788
01h33m42.2808s +03d32m35.592s,PGC 05810,,UGC 01118      U,,1.34,0.03,66.0,0.61,0.04,013341.9+033233,"NOPA,OFFSET 6.3 arcsec,PANedMed,",1.094,0.269,68.0,0.011725
01h34m02.4624s -01d04m32.772s,PGC 05830,,UGC 01120      U,IRAS01314-0119,1.27,0.04,139.0,0.56,0.04,013402.5-010434,"NOPA,OFFSET 1.4 arcsec,PANedMed,",0.931,0.256,140.0,0.015561
01h34m07.9704s -01d01m56.244s,PGC 05838,,UGC 01123      U,,1.1,0.05,71.0,0.55,0.04,013408.1-010158,"NOPA,OFFSET 2.6 arcsec,PANedMed,",0.629,0.177,70.0,0.016365
01h34m58.3s +01d20m09s,PGC 05884,,UGC 01130,,0.96,0.07,2.0,0.69,0.05,013458.3+012009,"NOPA,PANedMed,",0.456,0.093,3.0,0.025401
01h36m00.2s +00d39m48s,PGC 05939,NGC 0622,UGC 01143      P,MK 0571,1.26,0.03,45.0,0.15,0.04,0136 0.2+003948 N,"NOPA,PANedMed,",0.91,0.644,81.0,0.017215
01h36m39.9s -01d23m45s,PGC 05971,,UGC 01151      U,,1.04,0.18,15.0,0.09,0.08,013639.9-012345,"NOPA,PANedMed,",0.548,0.446,10.0,0.044377
01h38m47.4s +01d04m18s,PGC 06090,,UGC 01169      U,,1.12,0.06,74.0,0.3,0.03,013847.4+010418,"NOPA,PANedMed,",0.659,0.33,74.0,0.016512
01h39m47.1s -02d02m11s,PGC 06153,,UGC 01174      U,,0.98,0.09,103.0,0.17,0.06,013947.1-020211,"NOPA,PANedMed,",0.477,0.323,74.0,0.061803
01h43m31.9104s +02d04m39.216s,PGC 06348,,UGC 01208      U,,0.96,0.07,12.0,0.29,0.05,014331.9+020438,"NOPA,OFFSET 1.2 arcsec,PANedMed,NedNoRedshift,",0.456,0.234,18.0,nan
01h43m57.8s +02d20m59s,PGC 06367,A 0141+02,UGC 01214      U,MK 0573,1.13,0.07,,0.01,0.04,014357.8+022059 A,"NOPA,PANedMed,",0.674,0.659,10.0,0.017179
01h45m03.2808s -00d18m00s,PGC 06419,,UGC 01225a+b,,0.64,0.17,20.0,0.11,0.07,014503.4-001804,"NOPA,OFFSET 2164.0 arcsec,PANedMed,",0.218,0.169,22.0,0.018036
01h45m25.4s -03d49m38s,PGC 06447,,MCG -01-05-031 E,IRAS01428-0404,1.09,0.06,,0.11,0.05,014525.4-034938,"NOPA,PANedMed,",0.615,0.477,160.0,0.018199
