Coords,PGC,Name1,Name2,Name3,logD25,logD25err,RC3PA,logR25,logR25err,OrigCoords,Notes,SemiMajorAxis,SemiMinorAxis,PositionAngle,NEDRedshift
00h32m30.9s +02d34m27s,PGC 01970,,UGC 00320      U,,1.09,0.06,172.0,0.77,0.05,003230.9+023427,"NOPA,PANedMed,",0.615,0.104,172.0,0.007919
00h32m40.2s +01d28m02s,PGC 01973,,UGC 00322      U,,1.06,0.06,68.0,0.47,0.05,003240.2+012802,"NOPA,PANedMed,NedNoRedshift,",0.574,0.195,69.0,nan
00h33m22.0896s -01d07m16.896s,PGC 02016,,UGC 00328      U,,1.09,0.05,125.0,0.09,0.04,003322.2-010717,"NOPA,OFFSET 1.7 arcsec,PANedMed,",0.615,0.5,23.0,0.006622
00h33m36.1608s +02d40m51.816s,PGC 02022,,UGC 00329      U,,1.29,0.04,170.0,0.18,0.04,003336.2+024051,"NOPA,OFFSET 1.0 arcsec,PANedMed,",0.975,0.644,167.0,0.014641
00h34m01.2s -03d09m58.5s,PGC 02034,,MCG -01-02-031 E,,1.07,0.06,,0.5,0.05,003401.4-031000,"NOPA,OFFSET 3.4 arcsec,PANedMed,",0.587,0.186,150.0,0.019777
00h34m32.6904s +03d36m07.992s,PGC 02068,,UGC 00342      U,,1.02,0.06,65.0,0.09,0.05,003432.8+033608,"NOPA,OFFSET 1.6 arcsec,PANedMed,",0.524,0.426,42.0,0.021438
00h35m27.2s +02d56m07s,PGC 02118,,UGC 00348      U,,0.98,0.07,,0.0,0.05,003527.2+025607,"NOPA,NedNoPA,",0.477,0.477,0.0,0.01394
00h35m24.2688s +03d23m47.004s,PGC 02119,,UGC 00349      U,,1.0,0.09,136.0,0.28,0.06,003524.4+032346,"NOPA,OFFSET 2.2 arcsec,PANedMed,",0.5,0.262,133.0,0.021495
00h35m33.9s -02d50m55s,PGC 02131,NGC 0161,MCG -01-02-036 E,,1.13,0.11,,0.22,0.07,003533.9-025055 N,"NOPA,PANedMed,",0.674,0.406,35.0,0.020311
00h36m12.9504s +01d42m44.784s,PGC 02162,,UGC 00358,,1.06,0.06,,0.0,0.05,003613.0+014244,"NOPA,OFFSET 1.1 arcsec,PANedMed,",0.574,0.574,30.0,0.018166
00h36m45.8s +01d53m11s,PGC 02195,NGC 0170,MCG +00-02-091 E,,0.64,0.11,85.0,0.19,0.05,003645.8+015311 N,"NOPA,PANedMed,",0.218,0.141,80.0,0.01424
00h37m12.5s +01d56m32s,PGC 02223,NGC 0173,UGC 00369      U,IRAS00346+0140,1.5,0.03,90.0,0.08,0.04,003712.5+015632 N,"NOPA,PANedMed,",1.581,1.315,90.0,0.014563
