Coords,PGC,Name1,Name2,Name3,RevHubble,BT,logD25,logD25err,RC3PositionAngle,logR25,logR25err,OrigCoords,Notes,SemiMajorAxis,PositionAngle,SemiMinorAxis
00h39m39.5s +03d26m34s,PGC 02393,NGC 0203,MCG +00-02-114 E,,.L..0P*,,.93,.08,85,.49,.05,003939.5+032634 N,"NOPA,PANedMedian,PANedMedian,",0.4255690191011883,80.0,0.13771143516690834
00h39m39.9s +03d32m10s,PGC 02394,NGC 0202,UGC 00421      E,,.LBS+?.,,.95,.06,153,.49,.04,003939.9+033210 N,"NOPA,PANedMedian,PANedMedian,",0.4456254690668727,151.0,0.14420157515633028
00h39m44.3s +03d17m58s,PGC 02397,NGC 0204,UGC 00423      E,,.LAS0P*,13.8,1.08,.06,30,.02,.05,003944.3+031758 N,"PANedMedian,",0.6011322173087066,20.0,0.5740768107484414
00h40m17.58s +02d45m23.4s,PGC 02420,NGC 0208,MCG +00-02-118 E,,.SAR1?.,,.87,.08,,.03,.05,004017.6+024522 N,"PANedMedian,",0.37065512065045875,150.0,0.3459154854594682
00h40m29.1s +03d15m24.696s,PGC 02435,,UGC 00430      U,,.S..6*.,,1.09,.07,44,.59,.03,004029.1+031523,"OFFSET 8.638 arcsec,PANedMedian,",0.6151343854061909,44.0,0.15811388300841903
00h40m37.8528s -00d19m50.412s,PGC 02440,IC 1571,UGC 00432      U,,.S..3..,,1.06,.06,0,.10,.05,004037.9-001950 I,"PANedMedian,",0.5740768107484414,23.0,0.4560054196779549
00h41m21.6s -01d42m58s,PGC 02472,A 0038-01,UGC 00439      U,,PSBR1P*,13.8,1.05,.05,170,.02,.04,004121.6-014258 A,"PANedMedian,",0.5610092271509818,160.0,0.5357596526188032
00h41m17.2008s +03d30m11.016s,PGC 02473,,UGC 00437      U,,.S..9..,,.96,.09,,.00,.06,004117.4+033013,"OFFSET 1.274 arcsec,NedNoPA,HANDADJ PA Major Minor,",1.0,40.0,0.91
00h42m11.3s +00d54m16s,PGC 02522,NGC 0219,MCG +00-02-128 E,,CE...?.,,.73,.14,60,.03,.05,004211.3+005416 N,"OFFSET 1.880 arcsec,PANedMedian,",0.26851589818512633,166.0,0.2505936168136361
00h42m15.9s +00d50m43s,PGC 02527,NGC 0223,UGC 00450      E,,PSBR0*.,,1.10,.05,62,.17,.05,004215.9+005043 N,"PANedMedian,",0.6294627058970838,62.0,0.4255690191011884
00h42m36.8s -01d31m43s,PGC 02547,NGC 0227,UGC 00456      P,,.L..-P*,13.11,1.21,.05,155,.11,.03,004236.8-013143 N,"NOPA,OFFSET 1.379 arcsec,PANedMedian,PANedMedian,",0.8109050486794649,157.0,0.6294627058970835
00h43m30.2448s +00d00m55.98s,PGC 02591,,,,,16.85,,,,,,004324.4+000100,"OFFSET 4.398 arcsec,NedNoPA,HANDADJ Absent Major Minor,",0.01,0.0,0.01
00h43m27.5s +02d57m29s,PGC 02596,NGC 0236,UGC 00462      U,IRAS00409+0241,.SXS5..,,1.06,.04,160,.06,.04,004327.5+025729 N,"OFFSET 3.008 arcsec,PANedMedian,",0.5740768107484414,55.0,0.5
00h43m27.8424s -00d07m29.748s,PGC 02597,NGC 0237,UGC 00461      R,IRAS00408-0023,.SXT6..,13.7,1.20,.02,175,.24,.02,004327.9-000729 N,"NOPA,OFFSET 2.095 arcsec,PANedMedian,PANedMedian,",0.7924465962305567,3.0,0.4560054196779548
00h43m51.8736s +00d48m07.092s,PGC 02615,,UGC 00466      E,,.SBS1P?,,1.13,.04,165,.29,.04,004352.0+004807,"PANedMedian,",0.6744814412958267,163.0,0.3459154854594682
00h43m56.1312s +01d51m01.044s,PGC 02617,IC 0049,UGC 00468      U,,.SXS5..,14.2,1.18,.04,95,.07,.04,004356.2+015101 I,"PANedMedian,",0.756780624218104,130.0,0.6441247758465669
00h44m37.5s -03d45m33s,PGC 02642,NGC 0239,MCG -01-03-007 E,IRAS00420-0401,PS..2..,,1.00,.07,,.33,.05,004437.5-034533 N,"PANedMedian,",0.5,15.0,0.2338675706435991
