Coords,PGC,Name1,Name2,Name3,RevHubble,BT,logD25,logD25err,RC3PositionAngle,logR25,logR25err,OrigCoords,Notes,SemiMajorAxis,PositionAngle,SemiMinorAxis
11h43m31.14s +55d28m44.076s,PGC 36432,,UGC 06685      U,,.S..6*.,,1.11,.05,6,.75,.05,114331.3+552843,"OFFSET 1.734 arcsec,",0.6441247758465671,6.0,0.11454338263838867
11h43m27.3s +52d42m40s,PGC 36439,NGC 3829,UGC 06690      P,IRAS11407+5259,.SBS3*.,,1.03,.04,95,.20,.04,114327.3+524240 N,,0.5357596526188032,95.0,0.3380414876959909
11h43m46.5s +55d02m51s,PGC 36463,,MCG +09-19-165,MK 1452,.SB?...,,.87,.07,,.10,.06,114346.5+550251,"NOPA,PANedMedian,",0.37065512065045875,150.0,0.29442182767779446
11h44m14.8s +55d02m06s,PGC 36506,NGC 3846A,UGC 06706      P,KUG 1141+553B,.SBS9*.,,1.28,.03,40,.09,.04,114414.8+550206 N,,0.9527303589816236,40.0,0.7744083094562406
11h44m25s +48d50m07s,PGC 36528,,UGC 06713      U,,.S..9..,,1.17,.07,,.14,.06,114425.0+485007,"NOPA,NedNoPA,",0.7395541940841036,0.0,0.5357596526188032
11h44m29.1s +55d39m08s,PGC 36539,NGC 3846,UGC 06710      R,IRAS11417+5556,.SA.5*.,,1.03,.06,135,.14,.04,114429.1+553908 N,,0.5357596526188032,135.0,0.3881235583143459
11h45m09.3s +49d43m07s,PGC 36613,IC 0731:,UGC 06726      U,,.L..-*.,,1.04,.11,65,.18,.05,1145 9.3+494307 I,,0.5482390980715925,65.0,0.36221798003749506
11h45m35.5608s +55d53m12.804s,PGC 36660,NGC 3850,UGC 06733      R,,.SBS5*.,,1.34,.04,130,.30,.04,114535.7+555312 N,"OFFSET 1.420 arcsec,",1.0938808119747765,130.0,0.5482390980715927
11h45m56.6s +50d11m59s,PGC 36686,NGC 3870,UGC 06742      U,MK 0186,.L...?.,13.50M,1.02,.08,25,.09,.03,114556.6+501159 N,,0.5235642740254498,25.0,0.4255690191011882
11h46m07.6992s +47d29m39.66s,PGC 36699,NGC 3877,UGC 06745      R,IRAS11434+4746,.SAS5*.,11.79M,1.74,.02,35,.63,.03,1146 7.8+472941 N,"OFFSET 1.685 arcsec,",2.747704369288123,35.0,0.6441247758465669
11h47m21.4s +55d43m48s,PGC 36774,,MCG +09-19-182,,.E?....,15.45,,,,,,114721.4+554348,"LOGD25,NOPA,NOAXIS,PANedMedian,HANDADJ PA Major Minor,",0.478,56.0,0.42183333333333334
11h47m34.4s +55d58m02s,PGC 36789,NGC 3888,UGC 06765      R,MK 0188,.SXT5..,12.71,1.24,.03,120,.13,.03,114734.4+555802 N,,0.8689004143746877,120.0,0.644124775846567
11h47m40.1496s +54d30m53.388s,PGC 36795,,UGC 06766      U,,.S..4..,,1.10,.06,135,.76,.05,114740.3+543052,"OFFSET 1.908 arcsec,",0.6294627058970838,135.0,0.10938808119747764
11h48m00.78s +55d45m41.328s,PGC 36805,,MCG +09-19-190,,.L?....,15.41,.97,.15,,.14,.07,114800.5+554537,"NOPA,OFFSET 4.931 arcsec,PANedMedian,",0.4666271503984955,60.0,0.3380414876959909
11h48m00.4824s +49d48m29.7s,PGC 36825,,UGC 06773      U,,.I..9..,,1.21,.05,168,.29,.05,114800.6+494830,"OFFSET 1.177 arcsec,",0.8109050486794649,168.0,0.41588188555133554
11h48m11.3256s +54d59m30.48s,PGC 36836,A 1145+55,UGC 06774      U,,.S..6*.,,1.31,.04,155,.91,.05,114811.5+545929 A,"OFFSET 2.108 arcsec,",1.0208689723347648,155.0,0.125594321575479
11h48m38.2s +48d42m39s,PGC 36875,NGC 3893,UGC 06778      R,,.SXT5*.,11.16S,1.65,.02,165,.21,.03,114838.2+484239 N,,2.233417960754815,165.0,1.377114351669083
11h48m56.4s +48d40m29s,PGC 36897,NGC 3896,UGC 06781      P,,.SB.0*P,,1.15,.04,125,.15,.04,114856.4+484029 N,,0.706268772311377,125.0,0.4999999999999999
11h49m15.3696s +56d05m03.696s,PGC 36921,NGC 3898,UGC 06787      R,IRAS11465+5621,.SAS2..,11.60M,1.64,.02,107,.23,.02,114915.2+560504 N,"OFFSET 1.452 arcsec,",2.182579161200829,107.0,1.2851978913844313
11h49m40.5s +48d25m33s,PGC 36953,NGC 3906,UGC 06797      P,IRAS11469+4842,.SBS7..,13.49S,1.27,.04,,.05,.04,114940.5+482533 N,"NOPA,PANedMedian,",0.9310435683314338,80.0,0.8297934537187803
11h50m06.4992s +51d51m21.24s,PGC 36973,A 1147+52,UGC 06802      U,,.S..6*.,,1.33,.04,160,1.12,.05,115006.7+515120 A,"OFFSET 2.236 arcsec,",1.0689810447511163,160.0,0.0810905048679465
11h50m34.7664s +50d31m44.292s,PGC 37022,,UGC 06811      U,,.S..0..,,1.04,.06,9,.43,.05,115034.8+503143,"OFFSET 1.331 arcsec,",0.5482390980715925,9.0,0.2036901389020564
11h50m35.3s +50d34m45s,PGC 37023,,UGC 06812      U,,.S..8*.,,1.16,.13,54,.59,.12,115035.3+503445,,0.7227198853729636,54.0,0.18576761454858623
11h50m38.9s +55d21m13s,PGC 37024,NGC 3913,UGC 06813      P,IRAS11480+5537,PSAT7*.,13.17M,1.42,.02,,.01,.03,115038.9+552113 N,"NOPA,PANedMedian,",1.3151339959476906,40.0,1.2851978913844315
11h50m45.5s +51d49m28s,PGC 37036,NGC 3917,UGC 06815      R,IRAS11481+5206,.SA.6*.,12.51M,1.71,.02,77,.61,.03,115045.5+514928 N,,2.5643069199568242,77.0,0.6294627058970836
11h50m47.7s +56d27m21.096s,PGC 37037,A 1148+56,UGC 06816      U,DDO 098,.IB.9..,14.12M,1.17,.05,,.05,.05,115047.5+562720 A,"NOPA,OFFSET 1.987 arcsec,NedNoPA,",0.7395541940841036,0.0,0.6591283692782035
11h50m46.9512s +45d48m25.884s,PGC 37038,,UGC 06818,,.SB?...,,1.31,.04,78,.33,.05,115047.1+454826,"OFFSET 1.560 arcsec,",1.0208689723347648,78.0,0.477496293010718
11h50m51s +55d08m37s,PGC 37047,NGC 3916,UGC 06819      P,IRAS11481+5525,.SA.3*/,,1.20,.04,45,.57,.04,115051.0+550837 N,,0.7924465962305567,45.0,0.21328975940079634
11h51m06.9s +55d04m43s,PGC 37063,NGC 3921,UGC 06823      R,MK 0430,PSAS0P.,13.06,1.33,.03,20,.21,.04,1151 6.9+550443 N,,1.0689810447511163,20.0,0.6591283692782037
11h51m13.4s +50d09m24s,PGC 37072,NGC 3922,UGC 06824      U,,.S..0..,,1.24,.05,38,.36,.05,115113.4+500924 N,,0.8689004143746877,38.0,0.37928878751459183
11h51m13.4s +52d00m03s,PGC 37073,NGC 3931,UGC 06825      R,,.LA.-*.,,1.06,.07,160,.09,.04,115113.4+520003 N,,0.5740768107484414,160.0,0.4666271503984955
11h51m22.6848s +53d26m38.94s,PGC 37091,,UGC 06828      U,,.S..4..,,1.13,.05,,.10,.05,115122.8+532638,"NOPA,OFFSET 1.394 arcsec,PANedMedian,",0.6744814412958267,88.0,0.5357596526188031
11h51m47.6s +48d40m59s,PGC 37136,NGC 3928,UGC 06834      *,MK 0190,.SAS3?.,13.22,1.18,.03,,.00,.04,115147.6+484059 N,"NOPA,PANedMedian,",0.756780624218104,93.0,0.756780624218104
11h51m56.9s +45d44m01s,PGC 37144,A 1149+46,,1ZW 029,,,,,,,,115156.9+454401 A,"LOGD25,NOPA,NOAXIS,PANedMedian,",0.6560999495096017,12.0,0.6560999495096017
11h52m07.008s +52d06m28.836s,PGC 37164,A 1149+52,UGC 06840      P,DDO 100,.SBT9..,14.3,1.27,.06,,.50,.06,115207.3+520627 A,"NOPA,OFFSET 3.257 arcsec,NedNoPA,HANDADJ PA,",0.9310435683314338,80.0,0.2944218276777945
11h52m39.2s +50d02m16s,PGC 37217,,UGC 06849      U,,.S..9*.,,1.26,.06,,.04,.06,115239.2+500216,"NOPA,PANedMedian,",0.9098504293049917,47.0,0.8297934537187802
11h52m49.4s +44d07m14s,PGC 37229,NGC 3938,UGC 06856      R,IRAS11502+4423,.SAS5..,10.90M,1.73,.02,37,.04,.02,115249.4+440714 N,,2.6851589818512633,37.0,2.4488940968422304
11h53m41.772s +46d12m42.84s,PGC 37289,A 1151+46,MCG +08-22-028,MK 0042,.SB?...,,.74,.14,,.09,.07,115341.4+461239 A,"NOPA,OFFSET 5.446 arcsec,PANedMedian,",0.27477043692881226,151.0,0.22334179607548152
11h53m41.7s +47d51m31s,PGC 37290,NGC 3949,UGC 06869      R,IRAS11510+4808,.SAS4*.,11.54S,1.46,.02,120,.24,.03,115341.7+475131 N,,1.4420157515633028,120.0,0.8297934537187802
11h53m49s +52d19m36s,PGC 37306,NGC 3953,UGC 06870      R,,.SBR4..,10.84M,1.84,.01,13,.30,.02,115349.0+521936 N,,3.459154854594683,13.0,1.7336842522626585
11h55m20.1888s +51d07m35.04s,PGC 37413,A 1152+51,,MK 0192,,,,,,,,115519.7+510739 A,"LOGD25,NOPA,NOAXIS,OFFSET 6.071 arcsec,PANedMedian,",0.6560999495096017,158.0,0.6560999495096017
11h55m23.4888s +54d39m26.424s,PGC 37418,,UGC 06894      U,KUG 1152+549,.S..6*.,,1.15,.04,89,.78,.04,115523.4+543925,"OFFSET 1.619 arcsec,",0.706268772311377,89.0,0.11721144076599607
11h55m31.3896s +54d52m00.444s,PGC 37430,A 1152+55B,MCG +09-20-030 P,,.S..0$.,16.3,.74,.14,,.28,.07,115531.5+545200 A,"NOPA,OFFSET 1.051 arcsec,PANedMedian,",0.27477043692881226,61.0,0.14420157515633028
11h55m31.6704s +54d53m56.112s,PGC 37442,A 1152+55A,MCG +09-20-031 P,,.LA..P*,15.6,.82,.19,,.27,.07,115531.8+545456 A,"NOPA,OFFSET 59.898 arcsec,PANedMedian,",0.33034672400379794,3.0,0.17740669461678768
11h55m45.1s +55d19m14s,PGC 37466,NGC 3972,UGC 06904      R,IRAS11531+5535,.SAS4..,12.98S,1.59,.02,120,.56,.03,115545.1+551914 N,,1.9452257249714033,120.0,0.5357596526188033
11h56m07.2s +55d23m26s,PGC 37497,NGC 3977,UGC 06909      R,,RSAT2*.,,1.23,.04,,.04,.04,1156 7.2+552326 N,"NOPA,PANedMedian,",0.8491218262308722,176.0,0.7744083094562406
11h56m28.1s +55d07m30s,PGC 37520,NGC 3982,UGC 06918      R,IRAS11538+5524,.SXR3*.,11.83V,1.37,.02,178,.06,.03,115628.1+550730 N,,1.1721144076599614,178.0,1.020868972334765
11h56m26.5152s +50d25m43.248s,PGC 37525,,UGC 06917      U,,.SB.9..,13.13S,1.55,.04,130,.24,.06,115628.8+502543,"OFFSET 21.834 arcsec,",1.7740669461678775,130.0,1.0208689723347648
11h56m37.5096s +55d37m59.484s,PGC 37532,A 1154+55,UGC 06919      U,,.S..8*.,,1.16,.05,87,.54,.05,115637.8+553757 A,"OFFSET 3.495 arcsec,",0.7227198853729636,87.0,0.20843469173516763
11h56m42.1s +48d20m03s,PGC 37542,NGC 3985,UGC 06921      R,ARAK 334,.SBS9*.,13.12S,1.11,.04,73,.19,.03,115642.1+482003 N,,0.6441247758465671,73.0,0.41588188555133554
11h56m52.1496s +50d49m01.2s,PGC 37550,,UGC 06922,,.S?....,14.14S,1.19,.03,,.09,.03,115652.3+504901,"NOPA,OFFSET 1.439 arcsec,PANedMedian,",0.7744083094562406,63.0,0.6294627058970835
11h56m49.4304s +53d09m37.296s,PGC 37553,,UGC 06923      U,KUG 1154+534,.I..9*.,13.90M,1.30,.03,175,.38,.04,115649.8+530936,"OFFSET 3.568 arcsec,",0.9976311574844399,175.0,0.41588188555133554
11h57m17.3496s +49d16m59.088s,PGC 37584,A 1154+49,UGC 06930      U,,.SXS7..,12.65S,1.64,.03,,.20,.06,115717.4+491658 A,"NOPA,OFFSET 1.195 arcsec,PANedMedian,",2.182579161200829,36.0,1.377114351669083
11h57m36s +53d22m29s,PGC 37617,NGC 3992,UGC 06937      R,IRAS11549+5339,.SBT4..,10.60,1.88,.01,68,.21,.02,115736.0+532229 N,,3.792887875145918,68.0,2.3386757064359904
11h57m35.6s +55d27m31s,PGC 37618,NGC 3990,UGC 06938      R,,.L..-*/,13.43M,1.15,.03,40,.24,.03,115735.6+552731 N,,0.706268772311377,40.0,0.40641525808204954
11h57m47.5848s +53d14m04.128s,PGC 37621,,UGC 06940,,.S?....,,1.00,.06,136,.79,.05,115747.8+531403,"OFFSET 2.237 arcsec,",0.5,136.0,0.08109050486794649
11h57m56.1s +55d27m12s,PGC 37642,NGC 3998,UGC 06946      R,,.LAR0$.,11.61,1.43,.03,140,.08,.04,115756.1+552712 N,,1.3457674019634576,140.0,1.1193605692841695
11h58m25.5984s +50d55m01.164s,PGC 37682,A 1155+51,UGC 06956      P,DDO 102,.SBS9..,14.92S,1.35,.05,,.03,.03,115826.0+505503 A,"NOPA,OFFSET 4.218 arcsec,PANedMedian,",1.11936056928417,35.0,1.0446480654270198
11h58m31.38s +43d56m47.688s,PGC 37691,NGC 4013,UGC 06963      R,IRAS11559+4413,.S..3./,12.19M,1.72,.02,66,.71,.03,115831.3+435651 N,"OFFSET 3.423 arcsec,",2.6240373012488627,66.0,0.511646496140377
11h58m37.8888s +47d15m41.4s,PGC 37697,NGC 4010,UGC 06964      P,,.SBS7*/,13.17S,1.63,.02,66,.73,.03,115837.5+471538 N,"OFFSET 5.218 arcsec,",2.1328975940079626,66.0,0.3971641173621407
11h58m47.6352s +53d25m29.1s,PGC 37700,A 1156+53,UGC 06969      U,,.I..9..,,1.21,.05,152,.50,.05,115847.6+532528 A,"OFFSET 1.144 arcsec,",0.8109050486794649,152.0,0.2564306919956824
11h58m53.2728s +45d44m04.056s,PGC 37722,,UGCA 259       U,,.I..9..,,1.04,.18,,.09,.18,115852.7+454353,"NOPA,OFFSET 12.578 arcsec,NedNoPA,",0.5482390980715925,0.0,0.4456254690668728
11h58m58.9968s +54d14m20.544s,PGC 37728,,MCG +09-20-049,MK 0433,.S?....,,.80,.07,,.04,.06,115858.8+541412,"NOPA,OFFSET 8.716 arcsec,PANedMedian,",0.3154786722400967,95.0,0.28771996866857846
11h59m09.2808s +52d42m27s,PGC 37735,A 1156+52,UGC 06983      U,,.SBT6..,13.12S,1.54,.03,85,.16,.03,115909.4+524226 A,"OFFSET 1.474 arcsec,",1.7336842522626583,85.0,1.1994164595097454
11h59m25.1904s +50d57m42.084s,PGC 37760,NGC 4026,UGC 06985      R,,.L..../,11.67M,1.72,.03,178,.61,.03,115925.1+505741 N,"OFFSET 1.380 arcsec,",2.6240373012488627,178.0,0.6441247758465669
11h59m51.7104s +55d39m55.188s,PGC 37809,,UGC 06988      U,,.I..9*.,,1.11,.05,134,.54,.05,115951.9+553954,"OFFSET 1.996 arcsec,",0.6441247758465671,134.0,0.18576761454858629
12h00m18.9s +50d39m09s,PGC 37832,,UGC 06992      U,,.S..8*.,,1.13,.05,63,.34,.05,120018.9+503909,,0.6744814412958267,63.0,0.308297500930741
12h01m01.2288s +49d54m46.116s,PGC 37893,,UGC 06999      U,,.I..9*.,,1.02,.06,28,.41,.05,120101.4+495447,"OFFSET 1.875 arcsec,",0.5235642740254498,28.0,0.20369013890205642
12h02m50.7s +48d38m10s,PGC 38042,NGC 4047,UGC 07025      R,IRAS12002+4854,RSAT3*.,12.17V,1.20,.04,105,.07,.03,120250.7+483810 N,,0.7924465962305567,105.0,0.6744814412958268
12h03m07.116s +51d40m30.576s,PGC 38065,,MCG +09-20-071,HICK 060A,.L?....,15.76S,,,,,,120307.3+514031,"LOGD25,NOPA,NOAXIS,OFFSET 1.763 arcsec,PANedMedian,",0.6560999495096017,62.0,0.6560999495096017
12h03m09.6s +44d31m52s,PGC 38068,NGC 4051,UGC 07030      R,IRAS12005+4448,.SXT4..,10.83M,1.72,.02,135,.13,.02,1203 9.6+443152 N,,2.6240373012488627,135.0,1.9452257249714031
12h04m00.2s +49d06m45s,PGC 38143,,UGC 07046      U,,.S..4..,*,1.06,.06,5,.69,.05,120400.2+490645,,0.5740768107484414,5.0,0.11721144076599611
12h04m00.7776s +52d35m17.772s,PGC 38148,NGC 4068,UGC 07047      P,,.IA.9..,*,1.52,.03,30,.28,.04,120402.9+523530 N,"OFFSET 22.882 arcsec,",1.6556556074129556,30.0,0.8689004143746877
12h05m22.7s +50d21m10s,PGC 38283,NGC 4085,UGC 07075      R,IRAS12028+5037,.SXS5*$,12.95S,1.45,.02,78,.55,.02,120522.7+502110 N,,1.4091914656322269,78.0,0.39716411736214075
12h05m32.2s +51d30m16s,PGC 38295,,UGC 07082      U,,.S..3..,,1.16,.05,53,.35,.05,120532.2+513016,,0.7227198853729636,53.0,0.3228271145173277
12h05m34.2s +50d32m21s,PGC 38302,NGC 4088,UGC 07081      R,ARP 018,.SXT4..,11.15M,1.76,.02,43,.41,.02,120534.2+503221 N,,2.8771996866857847,43.0,1.11936056928417
12h06m01.1s +47d28m42s,PGC 38361,NGC 4096,UGC 07090      R,,.SXT5..,11.48M,1.82,.02,20,.57,.02,1206 1.1+472842 N,,3.3034672400379805,20.0,0.8891397050194616
12h06m08.5s +49d34m57s,PGC 38370,NGC 4100,UGC 07095      R,IRAS12036+4951,PSAT4..,11.89M,1.73,.02,167,.48,.03,1206 8.5+493457 N,,2.6851589818512633,167.0,0.8891397050194614
12h06m23s +52d42m40s,PGC 38392,NGC 4102,UGC 07096      R,IRAS12038+5259,.SXS3$.,11.99S,1.48,.03,38,.24,.03,120623.0+524240 N,,1.509975860201008,38.0,0.8689004143746877
12h09m08.8s +44d00m11s,PGC 38601,NGC 4135,MCG +07-25-032 P,,.SXS4$.,,.94,.09,,.13,.06,1209 8.8+440011 N,"NOPA,PANedMedian,",0.43548179497804024,103.0,0.32282711451732776
12h09m14.112s +47d03m30.132s,PGC 38613,A 1206+47,MCG +08-22-073 P,MK 0198,RLX.0P.,,.90,.17,,.00,.07,120914.5+470326 A,"NOPA,OFFSET 5.727 arcsec,PANedMedian,",0.39716411736214075,86.0,0.39716411736214075
12h09m17.5s +44d05m24s,PGC 38619,NGC 4137,UGC 07135b     P,VV 454,.SBT5$.,,1.03,.08,100,.17,.07,120917.5+440524 N,,0.5357596526188032,100.0,0.36221798003749506
12h09m30.2s +53d06m17s,PGC 38645,NGC 4142,UGC 07140      P,,.SBS7*.,13.89S,1.34,.04,175,.27,.04,120930.2+530617 N,,1.0938808119747765,175.0,0.5874487774697648
12h09m58.6008s +46d27m25.812s,PGC 38688,NGC 4144,UGC 07151      R,IRAS12074+4644,.SXS6$/,12.05,1.78,.02,104,.66,.03,120958.5+462726 N,"OFFSET 1.058 arcsec,",3.012797930371789,104.0,0.6591283692782035
12h10m10.7688s +49d17m09.6s,PGC 38690,,UGC 07155      U,,.S..6*.,,1.02,.06,40,.31,.05,121010.9+491709,"OFFSET 1.417 arcsec,",0.5235642740254498,40.0,0.25643069199568247
12h10m55.7592s +50d17m18.132s,PGC 38781,A 1208+50,UGC 07176      P,DDO 111,.I..9*.,16.6,1.16,.07,80,.49,.06,121055.2+501715 A,"OFFSET 6.207 arcsec,",0.7227198853729636,80.0,0.23386757064359906
12h11m04.4s +50d29m05s,PGC 38795,NGC 4157,UGC 07183      R,IRAS12085+5045,.SXS3$/,12.15M,1.83,.02,66,.70,.03,1211 4.4+502905 N,,3.3804148769599096,66.0,0.6744814412958271
12h11m22.6608s +48d32m02.652s,PGC 38824,A 1208+48,,MK 0200,,,,,,,,121122.6+483153 A,"LOGD25,NOPA,NOAXIS,OFFSET 9.671 arcsec,PANedMedian,",0.6560999495096017,129.0,0.6560999495096017
12h12m14.9s +56d10m39s,PGC 38887,NGC 4172,UGC 07205,,.S?....,,1.11,.05,,.07,.05,121214.9+561039 N,"NOPA,PANedMedian,",0.6441247758465671,4.0,0.5482390980715927
12h12m49.9s +46d46m23s,PGC 38948,,MCG +08-22-084,,.S?....,,.82,.13,,.00,.07,121249.9+464623,"NOPA,PANedMedian,",0.33034672400379794,43.0,0.33034672400379794
12h12m56.5248s +52d15m55.332s,PGC 38951,,UGC 07218      U,VV 497,.I..9*.,14.75S,1.11,.05,170,.29,.05,121258.1+521549,"OFFSET 15.786 arcsec,",0.6441247758465671,170.0,0.3303467240037981
12h13m29.3s +50d44m29s,PGC 39004,NGC 4187,UGC 07229      U,,.E.....,,1.10,.10,145,.10,.05,121329.3+504429 N,,0.6294627058970838,145.0,0.5000000000000001
12h14m09.4704s +54d31m36.588s,PGC 39068,NGC 4194,UGC 07241      R,MK 0201,.IB.9P.,13.01,1.26,.03,,.22,.04,1214 9.6+543135 N,"NOPA,OFFSET 1.948 arcsec,PANedMedian,",0.9098504293049917,117.0,0.5482390980715925
12h14m22.1s +56d00m41s,PGC 39090,NGC 4198,UGC 07246      U,,.S..0..,,1.02,.06,130,.24,.05,121422.1+560041 N,,0.5235642740254498,130.0,0.3012797930371789
12h15m23.6496s +51d20m59.604s,PGC 39191,,UGC 07267      U,,.S..8*.,,1.32,.04,53,.42,.05,121523.6+512058,"OFFSET 1.670 arcsec,",1.0446480654270198,53.0,0.3971641173621408
12h15m32.1504s +51d54m47.196s,PGC 39203,,UGC 07272      U,,.S..6*.,,1.04,.06,63,.88,.05,121532.1+515446,"OFFSET 1.284 arcsec,",0.5482390980715925,63.0,0.07227198853729637
12h15m46.4112s +48d07m50.988s,PGC 39237,NGC 4218,UGC 07283      P,ARAK 353,.S..1$.,,1.07,.05,142,.22,.04,121546.2+480752 N,"OFFSET 2.344 arcsec,",0.5874487774697649,142.0,0.353972892192069
12h15m50.9s +47d05m30s,PGC 39241,NGC 4217,UGC 07282      R,,.S..3./,12.04M,1.72,.02,50,.53,.02,121550.9+470530 N,,2.6240373012488627,50.0,0.7744083094562406
12h16m11.7s +47d52m59s,PGC 39285,NGC 4220,UGC 07290      R,IRAS12137+4809,.LAR+..,12.27M,1.59,.03,141,.45,.03,121611.7+475259 N,,1.9452257249714033,141.0,0.6901921323014426
12h16m26.3s +47d01m31s,PGC 39312,NGC 4226,UGC 07297      P,,.S..1P$,,1.11,.04,127,.34,.04,121626.3+470131 N,,0.6441247758465671,127.0,0.29442182767779457
12h16m30.1008s +52d13m39s,PGC 39316,,UGC 07298      U,,.I..9*.,,1.10,.07,140,.33,.06,121630.1+521342,"OFFSET 3.000 arcsec,",0.6294627058970838,140.0,0.29442182767779457
12h16m42.0792s +46d04m43.608s,PGC 39344,,UGC 07301      U,,.S..7..,,1.26,.04,82,.88,.05,121642.5+460443,"OFFSET 4.420 arcsec,",0.9098504293049917,82.0,0.11994164595097452
12h16m49s +47d26m19s,PGC 39353,NGC 4232,UGC 07303      P,IRAS12143+4743,.SB.3P*,,1.14,.04,155,.27,.04,121649.0+472619 N,,0.6901921323014423,155.0,0.37065512065045864
12h16m48.9s +47d27m26s,PGC 39354,NGC 4231,UGC 07304      P,,.LA.+P$,,1.08,.05,,.04,.03,121648.9+472726 N,"NOPA,PANedMedian,",0.6011322173087066,7.0,0.5482390980715925
12h17m28.656s +46d49m39s,PGC 39418,,UGC 07325      U,,.S..2..,,1.10,.06,145,.44,.05,121728.7+464938,"OFFSET 1.097 arcsec,",0.6294627058970838,145.0,0.22854409480743756
12h17m30.1s +45d37m10s,PGC 39423,NGC 4242,UGC 07323      R,,.SXS8..,11.37,1.70,.02,25,.12,.03,121730.1+453710 N,,2.505936168136361,25.0,1.9009469816028057
12h17m49.8s +47d24m33s,PGC 39461,NGC 4248,UGC 07335      R,,.I.0.$/,13.12S,1.48,.02,108,.44,.03,121749.8+472433 N,,1.509975860201008,108.0,0.5482390980715925
12h18m12.1008s +44d09m56.016s,PGC 39506,A 1215+44,UGC 07340b,MK 0203,.S?....,,.85,.12,,.20,.07,121813.0+441022 A,"NOPA,OFFSET 27.727 arcsec,NedNoPA,HANDADJ Major Minor,",1.0,0.0,1.0
12h18m57.5s +47d18m14s,PGC 39600,NGC 4258,UGC 07353      R,VV 448,.SXS4..,9.10M,2.27,.01,150,.41,.02,121857.5+471814 N,,9.310435683314338,150.0,3.6221798003749512
12h19m09.10s +47d05m23.0s,PGC 39615,,UGC 07356      U,,.I..9?.,,.96,.09,,.03,.06,121909.2+470522,"NOPA,OFFSET 5.829 arcsec,NedNoPA,HANDADJ Coords,",0.4560054196779548,0.0,0.42556901910118816
12h19m12.2328s +49d21m16.776s,PGC 39635,,UGC 07358      U,IRAS12167+4937,.S..6*.,,1.20,.05,37,.49,.05,121912.3+492116,"OFFSET 1.017 arcsec,",0.7924465962305567,37.0,0.2564306919956824
12h19m32.088s +49d48m56.7s,PGC 39680,,UGC 07367      U,,.S..0..,,1.14,.05,93,.29,.05,121932.2+494856,"OFFSET 1.290 arcsec,",0.6901921323014423,93.0,0.35397289219206896
12h19m43.2672s +53d03m33.804s,PGC 39704,,UGC 07379      U,,.S..7..,,1.02,.06,5,.20,.05,121943.4+530333,"OFFSET 1.442 arcsec,",0.5235642740254498,5.0,0.33034672400379805
12h20m17.4912s +48d08m15.612s,PGC 39785,,UGC 07392      U,,.SB.6?.,,1.06,.06,5,.86,.05,122017.6+480813,"OFFSET 2.830 arcsec,",0.5740768107484414,5.0,0.07924465962305569
12h20m38.1s +46d17m30s,PGC 39840,NGC 4288,UGC 07399      P,DDO 119,.SBS8..,13.26,1.33,.03,130,.12,.04,122038.1+461730 N,,1.0689810447511163,130.0,0.8109050486794652
12h20m48.5s +47d49m33s,PGC 39864,,UGC 07401      U,,.I..9..,,1.02,.06,25,.23,.05,122048.5+474933,,0.5235642740254498,25.0,0.3082975009307411
12h21m15.0096s +45d48m40.824s,PGC 39918,A 1218+46,UGC 07408      U,DDO 120,.IA.9..,13.35,1.42,.05,100,.34,.06,122115.3+454842 A,"OFFSET 3.256 arcsec,",1.3151339959476906,100.0,0.6011322173087063
12h22m23.8224s +45d03m30.024s,PGC 40078,,UGC 07444      U,,.S..1..,*,1.11,.05,44,.40,.05,122223.9+450329,"OFFSET 1.313 arcsec,",0.6441247758465671,44.0,0.25643069199568247
12h23m28s +46d59m37s,PGC 40228,NGC 4346,UGC 07463      R,,.L..../,12.14S,1.52,.03,99,.42,.03,122328.0+465937 N,,1.6556556074129556,99.0,0.6294627058970836
12h23m58.9s +48d46m46s,PGC 40296,NGC 4357,UGC 07478      U,,.SA.4..,,1.56,.02,77,.45,.04,122358.9+484646 N,,1.815390273850507,77.0,0.6441247758465671
12h25m12s +54d30m22s,PGC 40475,NGC 4384,UGC 07506      U,MK 0207,.S..1..,13.5,1.11,.05,90,.11,.05,122512.0+543022 N,,0.6441247758465671,90.0,0.5000000000000001
12h25m35.1s +45d41m04.812s,PGC 40537,NGC 4389,UGC 07514      P,,.SBT4P*,12.53S,1.42,.03,105,.29,.03,122535.2+454104 N,"OFFSET 1.326 arcsec,",1.3151339959476906,105.0,0.6744814412958268
12h25m53.8152s +45d16m53.328s,PGC 40605,,UGC 07525      U,,.SB.6*.,,1.04,.06,25,.09,.05,122554.0+451653,"OFFSET 1.978 arcsec,",0.5482390980715925,25.0,0.4456254690668728
12h26m02.3s +45d53m31s,PGC 40632,,UGC 07530      U,,.S..3..,,1.02,.06,10,.60,.05,122602.3+455331,,0.5235642740254498,10.0,0.1315133995947691
12h26m15.9216s +48d29m36.636s,PGC 40665,A 1223+48,MCG +08-23-035,MK 0209,.S?....,,.92,.08,,.14,.06,122616.1+482931 A,"NOPA,OFFSET 5.908 arcsec,PANedMedian,",0.41588188555133554,78.0,0.30127979303717894
12h26m56.7408s +48d16m37.092s,PGC 40771,A 1224+48,UGC 07560      R,MK 0210,.SB....,,.95,.07,,.03,.05,122656.9+481636 A,"NOPA,OFFSET 1.928 arcsec,PANedMedian,",0.4456254690668727,65.0,0.41588188555133543
