Coords,PGC,Name1,Name2,Name3,RevHubble,BT,logD25,logD25err,RC3PositionAngle,logR25,logR25err,OrigCoords,Notes,SemiMajorAxis,PositionAngle,SemiMinorAxis
11h04m03.4056s +49d49m17.76s,PGC 33433,,UGC 06127      U,IRAS11011+5005,.S..6*.,,.91,.07,140,.06,.05,110403.3+494916,"OFFSET 2.035 arcsec,",0.40641525808204965,140.0,0.35397289219206896
11h04m18.0048s +50d02m02.688s,PGC 33444,,UGC 06129      U,,.S..4..,,.87,.10,,.01,.06,110418.2+500202,"NOPA,OFFSET 2.003 arcsec,PANedMedian,",0.37065512065045875,140.0,0.362217980037495
11h04m28.0656s +44d01m51.42s,PGC 33454,,UGC 06131      U,,.L.....,,1.17,.09,95,.15,.05,110428.2+440150,"OFFSET 2.029 arcsec,",0.7395541940841036,95.0,0.5235642740254497
11h04m37s +45d07m30s,PGC 33465,,UGC 06135,IRAS11017+4523,.S?....,,.99,.05,,.02,.04,110437.0+450730,"NOPA,PANedMedian,",0.48861861047790534,91.0,0.4666271503984955
11h05m08.1168s +44d44m47.256s,PGC 33498,A 1102+45,MCG +08-20-083,MK 0162,,,.78,.08,,.35,.06,110508.0+444448 A,"NOPA,OFFSET 1.450 arcsec,PANedMedian,",0.3012797930371789,19.0,0.1345767401963458
11h06m31.3296s +48d39m05.688s,PGC 33600,A 1103+48,UGC 06156,IRAS11036+4855,.S?....,,1.06,.06,3,.56,.05,110631.0+483903 A,"OFFSET 4.230 arcsec,",0.5740768107484414,3.0,0.15811388300841897
11h06m54.7104s +51d12m12.096s,PGC 33633,,UGC 06162      U,IRAS11041+5127,.S..7..,,1.40,.03,88,.32,.04,110654.8+511211,"OFFSET 1.382 arcsec,",1.2559432157547898,88.0,0.6011322173087064
11h07m04.1s +45d49m19s,PGC 33643,,UGC 06165      U,IRAS11042+4605,.S..2..,,1.19,.05,59,.68,.05,110704.1+454919,,0.7744083094562406,59.0,0.1617968284648141
11h08m03.0168s +53d36m57.6s,PGC 33726,,UGC 06182,,.S?....,,.97,.07,,.03,.05,110803.0+533660,"DEC_ADJ,NOPA,OFFSET 2.305 arcsec,PANedMedian,",0.4666271503984955,119.0,0.4354817949780403
11h08m08.3s +45d59m04s,PGC 33729,,UGC 06184      U,,.S..6*.,,1.02,.06,2,.49,.05,110808.3+455904,,0.5235642740254498,2.0,0.1694220780696013
